Class                                              AP
Jet engine                                         0.6472
Propeller, airscrew                                0.2799
Helicopter                                         0.6232
Fixed-wing aircraft, airplane                      0.5901
Bicycle                                            0.3312
Skateboard                                         0.8039
Engine                                             0.4211
Light engine (high frequency)                      0.4931
Dental drill, dentist's drill                      0.4206
Lawn mower                                         0.6170
Chainsaw                                           0.6867
Medium engine (mid frequency)                      0.1239
Heavy engine (low frequency)                       0.1041
Engine knocking                                    0.2778
Engine starting                                    0.4492
Idling                                             0.2309
Accelerating, revving, vroom                       0.2997
Door                                               0.2301
Doorbell                                           0.5865
Ding-dong                                          0.2965
Sliding door                                       0.2976
Slam                                               0.2593
Knock                                              0.5841
Tap                                                0.4712
Squeak                                             0.4497
Cupboard open or close                             0.4685
Drawer open or close                               0.5143
Dishes, pots, and pans                             0.3483
Cutlery, silverware                                0.4590
Chopping (food)                                    0.7189
Frying (food)                                      0.8162
Microwave oven                                     0.3978
Blender                                            0.8426
Water tap, faucet                                  0.4593
Sink (filling or washing)                          0.5785
Bathtub (filling or washing)                       0.6828
Hair dryer                                         0.8957
Toilet flush                                       0.8762
Toothbrush                                         0.4162
Electric toothbrush                                0.3606
Vacuum cleaner                                     0.7732
Zipper (clothing)                                  0.6487
Keys jangling                                      0.3570
Coin (dropping)                                    0.5723
Scissors                                           0.4847
Electric shaver, electric razor                    0.5229
Shuffling cards                                    0.8309
Typing                                             0.5972
Typewriter                                         0.6456
Computer keyboard                                  0.6653
Writing                                            0.5502
Alarm                                              0.2698
Telephone                                          0.2823
Telephone bell ringing                             0.7275
Ringtone                                           0.5100
Telephone dialing, DTMF                            0.6258
Dial tone                                          0.6152
Busy signal                                        0.5934
Alarm clock                                        0.4948
Siren                                              0.9237
Civil defense siren                                0.9291
Buzzer                                             0.3042
Smoke detector, smoke alarm                        0.7384
Fire alarm                                         0.7558
Foghorn                                            0.5031
Whistle                                            0.4345
Steam whistle                                      0.6774
Mechanisms                                         0.3096
Ratchet, pawl                                      0.3020
Clock                                              0.4616
Tick                                               0.2131
Tick-tock                                          0.4555
Gears                                              0.3190
Pulleys                                            0.3453
Sewing machine                                     0.8635
Mechanical fan                                     0.3860
Air conditioning                                   0.3175
Cash register                                      0.8145
Printer                                            0.8228
Camera                                             0.4953
Single-lens reflex camera                          0.4986
Tools                                              0.4269
Hammer                                             0.5947
Jackhammer                                         0.5808
Sawing                                             0.6179
Filing (rasp)                                      0.6744
Sanding                                            0.8634
Power tool                                         0.4190
Drill                                              0.5667
Explosion                                          0.3011
Gunshot, gunfire                                   0.7588
Machine gun                                        0.7287
Fusillade                                          0.5870
Artillery fire                                     0.7941
Cap gun                                            0.8610
Fireworks                                          0.7318
Firecracker                                        0.6358
Burst, pop                                         0.0517
Eruption                                           0.4085
Boom                                               0.4542
Wood                                               0.4933
Chop                                               0.5746
Splinter                                           0.5139
Crack                                              0.2230
Glass                                              0.3835
Chink, clink                                       0.2120
Shatter                                            0.3777
Liquid                                             0.1270
Splash, splatter                                   0.5341
Slosh                                              0.3961
Squish                                             0.0819
Drip                                               0.3245
Pour                                               0.5013
Trickle, dribble                                   0.2131
Gush                                               0.3784
Fill (with liquid)                                 0.2018
Spray                                              0.6000
Pump (liquid)                                      0.4096
Stir                                               0.8414
Boiling                                            0.3327
Sonar                                              0.6752
Arrow                                              0.7305
Whoosh, swoosh, swish                              0.3935
Thump, thud                                        0.3148
Thunk                                              0.3294
Electronic tuner                                   0.6314
Effects unit                                       0.6046
Chorus effect                                      0.6026
Basketball bounce                                  0.6798
Bang                                               0.1256
Slap, smack                                        0.6994
Whack, thwack                                      0.2619
Smash, crash                                       0.4587
Breaking                                           0.3958
Bouncing                                           0.2018
Whip                                               0.7584
Flap                                               0.1379
Scratch                                            0.5138
Scrape                                             0.0431
Rub                                                0.7734
Roll                                               0.3141
Crushing                                           0.3733
Crumpling, crinkling                               0.5389
Tearing                                            0.4613
Beep, bleep                                        0.3646
Ping                                               0.4275
Ding                                               0.3389
Clang                                              0.3650
Squeal                                             0.2031
Creak                                              0.1964
Rustle                                             0.1445
Whir                                               0.1561
Clatter                                            0.1390
Sizzle                                             0.7516
Clicking                                           0.7211
Clickety-clack                                     0.5464
Rumble                                             0.3911
Plop                                               0.8987
Jingle, tinkle                                     0.3984
Hum                                                0.3577
Zing                                               0.3277
Boing                                              0.8750
Crunch                                             0.4864
Silence                                            0.1255
Sine wave                                          0.6104
Harmonic                                           0.0673
Chirp tone                                         0.2516
Sound effect                                       0.0757
Pulse                                              0.1235
Inside, small room                                 0.2225
Inside, large room or hall                         0.1039
Inside, public space                               0.1504
Outside, urban or manmade                          0.1282
Outside, rural or natural                          0.0761
Reverberation                                      0.2777
Echo                                               0.4118
Noise                                              0.1171
Environmental noise                                0.5655
Static                                             0.5931
Mains hum                                          0.5706
Distortion                                         0.5546
Sidetone                                           0.1994
Cacophony                                          0.1758
White noise                                        0.1058
Pink noise                                         0.4620
Throbbing                                          0.3201
Vibration                                          0.1474
Television                                         0.2582
Radio                                              0.4373
Field recording                                    0.2922
